MySQL Shell 8.0.32

Copyright (c) 2016, 2023, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': *************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): N
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 11
Server version: 8.0.32 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases;
+--------------------+
| Database           |
+--------------------+
| agencia            |
| ejemplo            |
| ejemplotdcs        |
| evaluacion_1       |
| information_schema |
| mysql              |
| ordenes_compra     |
| performance_schema |
| recursos_humanos   |
| sakila             |
| sys                |
| tarjetas_credito   |
| world              |
+--------------------+
13 rows in set (0.0018 sec)
 MySQL  localhost:3306 ssl  SQL > \use tarjetas_credito
Default schema set to `tarjetas_credito`.
Fetching global names, object names from `tarjetas_credito` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > show tables;
+----------------------------+
| Tables_in_tarjetas_credito |
+----------------------------+
| bancos                     |
| clientes                   |
| tarjetas                   |
+----------------------------+
3 rows in set (0.0032 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM tarjetas;
Empty set (0.0050 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv'
                                                 -> INTO TABLE Tarjetas
                                                 -> FIELDS TERMINATED BY ','
                                                 -> ENCLOSED BY '"'
                                                 -> LINES TERMINATED BY '\r\n'
                                                 -> IGNORE 1 LINES
                                                 -> (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
ERROR: 1292 (22007): Incorrect datetime value: '01/02/2011' for column 'fecha_expedicion' at row 1
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv' INTO TABLE Tarjetas FIELDS TERMINATED BY ',' ENCLOSED BY '"' LINES TERMINATED BY '\r\n' IGNORE 1 LINES (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
Query OK, 5000 rows affected (0.2639 sec)

Records: 5000  Deleted: 0  Skipped: 0  Warnings: 0
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT COUNT(*)
                                                 -> FROM Tarjetas;
+----------+
| COUNT(*) |
+----------+
|     5000 |
+----------+
1 row in set (0.0153 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM Tarjetas
                                                 -> LIMIT 1000;
+------------------+----------+---------------------------+------------+----------+---------------------+---------------------+----------+-------------+----------------+
| numero_tarjeta   | banco_id | tipo_tarjeta              | cliente_id | cvv_cvv2 | fecha_expedicion    | fecha_vencimiento   | dia_pago | pin_tarjeta | limite_credito |
| 3578194303794650 |        3 | Japan Credit Bureau       |         23 | 495      | 2010-08-01 00:00:00 | 2029-08-01 00:00:00 |       11 | 7151        |         128600 |
| 3553285407244380 |        3 | Japan Credit Bureau       |         24 | 343      | 2016-01-01 00:00:00 | 2032-01-01 00:00:00 |        7 | 7951        |          61500 |
| 3563157190199290 |        3 | Japan Credit Bureau       |         25 | 999      | 2017-10-01 00:00:00 | 2024-10-01 00:00:00 |       27 | 4503        |          46000 |
| 30270506634438   |        1 | Diners Club International |         26 | 712      | 2016-08-01 00:00:00 | 2017-08-01 00:00:00 |        5 | 954         |         124800 |
| 30177641023619   |        1 | Diners Club International |         27 | 128      | 2016-11-01 00:00:00 | 2032-11-01 00:00:00 |        2 | 5142        |         124500 |
| 30532246456079   |        1 | Diners Club International |         28 | 855      | 2016-09-01 00:00:00 | 2021-09-01 00:00:00 |        8 | 2808        |         152500 |
| 344553505519192  |        7 | American Express          |         29 | 8949     | 2011-10-01 00:00:00 | 2018-10-01 00:00:00 |        4 | 7673        |          96700 |
| 3538578757384150 |        3 | Japan Credit Bureau       |         30 | 97       | 2010-01-01 00:00:00 | 2021-01-01 00:00:00 |        1 | 6323        |          60200 |
| 5125881819456500 |        2 | Master Card               |         31 | 35       | 2013-10-01 00:00:00 | 2019-10-01 00:00:00 |        5 | 5100        |          98500 |
| 5227914784740620 |        2 | Master Card               |         32 | 815      | 2012-01-01 00:00:00 | 2013-01-01 00:00:00 |        6 | 1763        |          45600 |
| 4943827042883000 |        2 | Visa                      |         33 | 339      | 2008-12-01 00:00:00 | 2011-12-01 00:00:00 |       12 | 829         |          32200 |
| 3550684779756190 |        3 | Japan Credit Bureau       |         34 | 357      | 2013-05-01 00:00:00 | 2026-05-01 00:00:00 |        8 | 9571        |         143800 |
| 4865770265349020 |       10 | Visa                      |         35 | 398      | 2017-09-01 00:00:00 | 2019-09-01 00:00:00 |       19 | 4706        |         175600 |
| 5333620429278520 |        7 | Master Card               |         36 | 632      | 2013-03-01 00:00:00 | 2025-03-01 00:00:00 |       26 | 5721        |          12000 |
| 3533735144447840 |        3 | Japan Credit Bureau       |         37 | 50       | 2012-09-01 00:00:00 | 2023-09-01 00:00:00 |        8 | 6507        |         125600 |
| 3582808251036680 |        3 | Japan Credit Bureau       |         38 | 337      | 2011-02-01 00:00:00 | 2030-02-01 00:00:00 |       28 | 9370        |         192200 |
| 30065582173719   |        1 | Diners Club International |         39 | 498      | 2015-05-01 00:00:00 | 2016-05-01 00:00:00 |       11 | 8426        |         126100 |
| 5339774385951910 |        2 | Master Card               |         40 | 120      | 2009-05-01 00:00:00 | 2014-05-01 00:00:00 |       10 | 1012        |         171400 |
| 5334965693836210 |       11 | Master Card               |         41 | 957      | 2015-04-01 00:00:00 | 2017-04-01 00:00:00 |       28 | 1408        |         171700 |
| 30094213643742   |        1 | Diners Club International |         42 | 484      | 2009-04-01 00:00:00 | 2014-04-01 00:00:00 |        1 | 1402        |          78900 |
| 349765184234167  |        8 | American Express          |         43 | 4835     | 2007-09-01 00:00:00 | 2016-09-01 00:00:00 |       15 | 6127        |          67500 |
| 5295809081815640 |        5 | Master Card               |         44 | 942      | 2017-01-01 00:00:00 | 2031-01-01 00:00:00 |       20 | 8313        |          24000 |
| 4966265327891930 |        2 | Visa                      |         45 | 522      | 2015-08-01 00:00:00 | 2034-08-01 00:00:00 |        1 | 3703        |         109000 |
| 5134411538200700 |       10 | Master Card               |         46 | 891      | 2016-04-01 00:00:00 | 2035-04-01 00:00:00 |       25 | 5981        |          28700 |
| 4514039551563680 |        2 | Visa                      |         47 | 654      | 2015-08-01 00:00:00 | 2030-08-01 00:00:00 |       25 | 9804        |         154800 |
| 374616542205811  |        8 | American Express          |         48 | 1776     | 2009-11-01 00:00:00 | 2013-11-01 00:00:00 |        4 | 9169        |         181300 |
| 5261873344594690 |       12 | Master Card               |         49 | 112      | 2015-09-01 00:00:00 | 2026-09-01 00:00:00 |       12 | 7310        |         146700 |
| 30920942348387   |        1 | Diners Club International |         50 | 658      | 2008-03-01 00:00:00 | 2013-03-01 00:00:00 |       20 | 1157        |          15500 |
| 3553367556537420 |        3 | Japan Credit Bureau       |         51 | 86       | 2016-08-01 00:00:00 | 2018-08-01 00:00:00 |       19 | 1451        |         177700 |
| 3543138308886020 |        3 | Japan Credit Bureau       |         52 | 405      | 2017-01-01 00:00:00 | 2034-01-01 00:00:00 |        9 | 4448        |          78200 |
| 3564495397268980 |        3 | Japan Credit Bureau       |         53 | 235      | 2012-03-01 00:00:00 | 2032-03-01 00:00:00 |        1 | 1760        |          93400 |
| 4902793368729910 |        2 | Visa                      |         54 | 57       | 2013-09-01 00:00:00 | 2032-09-01 00:00:00 |       14 | 6156        |         133200 |
| 5424978066347210 |       10 | Master Card               |         55 | 142      | 2016-04-01 00:00:00 | 2020-04-01 00:00:00 |       11 | 9883        |         175500 |
| 4280846346423520 |       13 | Visa                      |         56 | 398      | 2008-10-01 00:00:00 | 2010-10-01 00:00:00 |        9 | 3213        |         176600 |
| 3559077938925920 |        3 | Japan Credit Bureau       |         57 | 8        | 2008-10-01 00:00:00 | 2020-10-01 00:00:00 |       28 | 9138        |         189300 |
| 370897271980568  |        8 | American Express          |         58 | 2873     | 2012-05-01 00:00:00 | 2031-05-01 00:00:00 |       10 | 7807        |         149000 |
| 6011252327504580 |        6 | Discover                  |         59 | 591      | 2014-06-01 00:00:00 | 2023-06-01 00:00:00 |        8 | 2601        |          78400 |
| 3547812606909640 |        3 | Japan Credit Bureau       |         60 | 473      | 2009-04-01 00:00:00 | 2027-04-01 00:00:00 |       13 | 995         |         146900 |
| 3562411656048750 |        3 | Japan Credit Bureau       |         61 | 836      | 2010-02-01 00:00:00 | 2020-02-01 00:00:00 |        4 | 2668        |          78500 |
| 4914390499167910 |        7 | Visa                      |         62 | 519      | 2015-05-01 00:00:00 | 2030-05-01 00:00:00 |       22 | 9698        |         126000 |
| 5447871590838350 |        5 | Master Card               |         63 | 378      | 2011-08-01 00:00:00 | 2020-08-01 00:00:00 |        3 | 7190        |          19500 |
| 345243745723940  |        7 | American Express          |         64 | 1745     | 2008-10-01 00:00:00 | 2014-10-01 00:00:00 |       15 | 4242        |         190500 |
| 372309650503522  |        7 | American Express          |         65 | 2998     | 2007-03-01 00:00:00 | 2018-03-01 00:00:00 |        1 | 6545        |          22600 |
| 3563418942582410 |        3 | Japan Credit Bureau       |         66 | 972      | 2007-02-01 00:00:00 | 2017-02-01 00:00:00 |       22 | 966         |         170400 |
| 6011199009522660 |        6 | Discover                  |         67 | 610      | 2017-08-01 00:00:00 | 2029-08-01 00:00:00 |       19 | 2606        |          68600 |
| 3536838040429120 |        3 | Japan Credit Bureau       |         68 | 206      | 2007-05-01 00:00:00 | 2015-05-01 00:00:00 |        4 | 819         |          79500 |
| 6536907606434840 |        6 | Discover                  |         69 | 893      | 2015-03-01 00:00:00 | 2021-03-01 00:00:00 |        9 | 3397        |          52500 |
| 343829028913794  |        8 | American Express          |         70 | 9003     | 2013-06-01 00:00:00 | 2033-06-01 00:00:00 |        2 | 3628        |          72600 |
| 6222108280820130 |        6 | Discover                  |         71 | 147      | 2009-09-01 00:00:00 | 2020-09-01 00:00:00 |       27 | 2137        |         133400 |
| 4405779598810600 |       14 | Visa                      |         72 | 686      | 2012-06-01 00:00:00 | 2022-06-01 00:00:00 |        8 | 4085        |          63500 |
| 343771721247304  |        8 | American Express          |         73 | 5105     | 2010-07-01 00:00:00 | 2018-07-01 00:00:00 |        8 | 4711        |          63400 |
| 4211579493511790 |       11 | Visa                      |         74 | 449      | 2008-12-01 00:00:00 | 2015-12-01 00:00:00 |       17 | 6373        |         172100 |
| 3540938924987430 |        3 | Japan Credit Bureau       |         75 | 172      | 2014-06-01 00:00:00 | 2021-06-01 00:00:00 |       17 | 3878        |          51000 |
| 6541049565005970 |        6 | Discover                  |         76 | 944      | 2007-11-01 00:00:00 | 2021-11-01 00:00:00 |       25 | 9464        |         181500 |
| 5134032847105080 |       10 | Master Card               |         77 | 778      | 2015-05-01 00:00:00 | 2026-05-01 00:00:00 |       14 | 2443        |         194700 |
| 343253898124400  |        8 | American Express          |         78 | 8278     | 2015-09-01 00:00:00 | 2017-09-01 00:00:00 |        4 | 1602        |          41400 |
| 5197208919909930 |        9 | Master Card               |         79 | 5        | 2010-10-01 00:00:00 | 2013-10-01 00:00:00 |       11 | 2385        |          46200 |
| 3580229647515250 |        3 | Japan Credit Bureau       |         80 | 203      | 2014-03-01 00:00:00 | 2021-03-01 00:00:00 |       24 | 9388        |          58400 |
| 6011259276981150 |        6 | Discover                  |         81 | 133      | 2008-01-01 00:00:00 | 2024-01-01 00:00:00 |        5 | 4118        |         143000 |
| 343960757365243  |        8 | American Express          |         82 | 4827     | 2012-08-01 00:00:00 | 2028-08-01 00:00:00 |        8 | 5217        |         171700 |
| 6011460514743500 |        6 | Discover                  |         83 | 390      | 2016-12-01 00:00:00 | 2035-12-01 00:00:00 |        2 | 6605        |          21100 |
| 4430848228898240 |        2 | Visa                      |         84 | 832      | 2015-02-01 00:00:00 | 2035-02-01 00:00:00 |       22 | 1040        |          59200 |
| 371085119761239  |        7 | American Express          |         85 | 4806     | 2016-10-01 00:00:00 | 2022-10-01 00:00:00 |       26 | 5574        |          96400 |
| 379795235241229  |        8 | American Express          |         86 | 565      | 2007-03-01 00:00:00 | 2008-03-01 00:00:00 |        8 | 1706        |          22800 |
| 375998876838121  |        8 | American Express          |         87 | 6430     | 2016-06-01 00:00:00 | 2034-06-01 00:00:00 |       13 | 6957        |         116000 |
| 5178625205263110 |        7 | Master Card               |         88 | 849      | 2016-02-01 00:00:00 | 2032-02-01 00:00:00 |       18 | 3865        |          40300 |
| 347042273971816  |        8 | American Express          |         89 | 4674     | 2009-01-01 00:00:00 | 2029-01-01 00:00:00 |       12 | 1313        |          41000 |
| 4220246891511050 |       15 | Visa                      |         90 | 637      | 2016-07-01 00:00:00 | 2024-07-01 00:00:00 |       22 | 5585        |          82100 |
| 6011144796981330 |        6 | Discover                  |         91 | 664      | 2009-11-01 00:00:00 | 2025-11-01 00:00:00 |       18 | 377         |          83500 |
| 348261571776391  |        8 | American Express          |         92 | 9601     | 2011-05-01 00:00:00 | 2026-05-01 00:00:00 |       17 | 761         |          89200 |
| 347283739964736  |        8 | American Express          |         93 | 7853     | 2017-03-01 00:00:00 | 2021-03-01 00:00:00 |       16 | 1237        |          45000 |
| 4022577365238940 |        2 | Visa                      |         94 | 701      | 2008-01-01 00:00:00 | 2009-01-01 00:00:00 |       24 | 2744        |         138900 |
| 4219438102809560 |       16 | Visa                      |         95 | 765      | 2014-03-01 00:00:00 | 2023-03-01 00:00:00 |       28 | 5727        |         157800 |
| 6011734316207350 |        6 | Discover                  |         96 | 130      | 2013-03-01 00:00:00 | 2029-03-01 00:00:00 |        5 | 767         |          65400 |
| 6011167115545680 |        6 | Discover                  |         97 | 133      | 2016-11-01 00:00:00 | 2020-11-01 00:00:00 |       13 | 6246        |         165400 |
| 4302179833069640 |        2 | Visa                      |         98 | 489      | 2011-01-01 00:00:00 | 2027-01-01 00:00:00 |        6 | 345         |         144600 |
| 4515308907110480 |       14 | Visa                      |         99 | 263      | 2016-11-01 00:00:00 | 2027-11-01 00:00:00 |        1 | 838         |         157100 |
| 3573852120504170 |        3 | Japan Credit Bureau       |        100 | 653      | 2015-09-01 00:00:00 | 2034-09-01 00:00:00 |       16 | 9828        |          63000 |
| 30304723846606   |        1 | Diners Club International |        101 | 902      | 2012-04-01 00:00:00 | 2020-04-01 00:00:00 |       24 | 8065        |          87900 |
| 30593609456122   |        1 | Diners Club International |        102 | 467      | 2012-10-01 00:00:00 | 2013-10-01 00:00:00 |        3 | 6873        |          47000 |
| 4161966132116320 |        7 | Visa                      |        103 | 504      | 2015-11-01 00:00:00 | 2019-11-01 00:00:00 |        3 | 497         |         148900 |
| 4959441234470270 |       15 | Visa                      |        104 | 486      | 2010-10-01 00:00:00 | 2020-10-01 00:00:00 |       27 | 5319        |         137700 |
| 30922722588091   |        1 | Diners Club International |        105 | 615      | 2008-03-01 00:00:00 | 2014-03-01 00:00:00 |       14 | 4961        |         173800 |
| 340866808774791  |        7 | American Express          |        106 | 1128     | 2011-01-01 00:00:00 | 2029-01-01 00:00:00 |       20 | 6243        |         136500 |
| 345900867026275  |        8 | American Express          |        107 | 2889     | 2015-10-01 00:00:00 | 2016-10-01 00:00:00 |       26 | 9224        |          30000 |
| 5460901443214240 |        2 | Master Card               |        108 | 131      | 2008-10-01 00:00:00 | 2019-10-01 00:00:00 |       12 | 2298        |          15900 |
| 5432545008161090 |        7 | Master Card               |        109 | 50       | 2017-03-01 00:00:00 | 2033-03-01 00:00:00 |       11 | 8371        |          99900 |
| 3553101707226550 |        3 | Japan Credit Bureau       |        110 | 357      | 2007-12-01 00:00:00 | 2008-12-01 00:00:00 |       21 | 988         |         136500 |
| 36154852498313   |        1 | Diners Club International |        111 | 72       | 2007-11-01 00:00:00 | 2014-11-01 00:00:00 |        6 | 7159        |         164500 |
| 36138684343086   |        1 | Diners Club International |        112 | 884      | 2011-01-01 00:00:00 | 2020-01-01 00:00:00 |       13 | 3562        |          99000 |
| 6011085377631410 |        6 | Discover                  |        113 | 419      | 2014-01-01 00:00:00 | 2027-01-01 00:00:00 |       22 | 3558        |         113700 |
| 3543401644174890 |        3 | Japan Credit Bureau       |        114 | 780      | 2013-04-01 00:00:00 | 2020-04-01 00:00:00 |       24 | 9201        |          97700 |
| 4917533336395210 |       15 | Visa                      |        115 | 38       | 2017-03-01 00:00:00 | 2019-03-01 00:00:00 |        2 | 4216        |         128300 |
| 6011691187971300 |        6 | Discover                  |        116 | 364      | 2008-11-01 00:00:00 | 2017-11-01 00:00:00 |       24 | 2861        |         170600 |
| 4456279259437380 |        5 | Visa                      |        117 | 724      | 2012-11-01 00:00:00 | 2025-11-01 00:00:00 |       25 | 6233        |          50500 |
| 4229650497024540 |       16 | Visa                      |        118 | 107      | 2016-03-01 00:00:00 | 2026-03-01 00:00:00 |       24 | 6415        |         128900 |
| 5303845110844350 |        9 | Master Card               |        119 | 289      | 2012-12-01 00:00:00 | 2020-12-01 00:00:00 |        9 | 6808        |          21600 |
| 344113924906551  |        8 | American Express          |        120 | 9310     | 2014-10-01 00:00:00 | 2024-10-01 00:00:00 |        9 | 5731        |         147000 |
| 3529426433107420 |        3 | Japan Credit Bureau       |        121 | 817      | 2012-01-01 00:00:00 | 2027-01-01 00:00:00 |        7 | 3638        |         198300 |
| 30256153690955   |        1 | Diners Club International |        122 | 106      | 2014-08-01 00:00:00 | 2034-08-01 00:00:00 |        8 | 6243        |          59300 |
| 4850520054090780 |        5 | Visa                      |        123 | 601      | 2011-01-01 00:00:00 | 2022-01-01 00:00:00 |       14 | 7845        |          49000 |
| 6599476067450670 |        6 | Discover                  |        124 | 278      | 2010-07-01 00:00:00 | 2012-07-01 00:00:00 |        8 | 6870        |         144500 |
| 3534589371895740 |        3 | Japan Credit Bureau       |        125 | 462      | 2009-09-01 00:00:00 | 2017-09-01 00:00:00 |       23 | 2363        |         189000 |
| 4443215909173230 |        2 | Visa                      |        126 | 738      | 2010-11-01 00:00:00 | 2024-11-01 00:00:00 |       14 | 1641        |         191700 |
| 6011528459887180 |        6 | Discover                  |        127 | 54       | 2007-09-01 00:00:00 | 2008-09-01 00:00:00 |       24 | 7000        |         169400 |
| 4299860877336790 |       11 | Visa                      |        128 | 719      | 2015-01-01 00:00:00 | 2027-01-01 00:00:00 |        8 | 7241        |          48000 |
| 3535383955325420 |        3 | Japan Credit Bureau       |        129 | 768      | 2007-05-01 00:00:00 | 2019-05-01 00:00:00 |       16 | 1921        |          70300 |
| 30983245416889   |        1 | Diners Club International |        130 | 442      | 2011-12-01 00:00:00 | 2024-12-01 00:00:00 |        6 | 4073        |         192100 |
| 4889647992621150 |       12 | Visa                      |        131 | 411      | 2012-09-01 00:00:00 | 2026-09-01 00:00:00 |        3 | 6626        |         174600 |
| 5406791131271330 |        2 | Master Card               |        132 | 954      | 2017-09-01 00:00:00 | 2020-09-01 00:00:00 |        9 | 5878        |         135300 |
| 347400690954866  |        8 | American Express          |        133 | 3644     | 2010-12-01 00:00:00 | 2015-12-01 00:00:00 |       17 | 5762        |          54700 |
| 4805825979617320 |        2 | Visa                      |        134 | 571      | 2008-09-01 00:00:00 | 2017-09-01 00:00:00 |       16 | 4288        |          95700 |
| 4480137241795110 |        2 | Visa                      |        135 | 362      | 2014-08-01 00:00:00 | 2025-08-01 00:00:00 |        6 | 9421        |         113200 |
| 4233851610167290 |        2 | Visa                      |        136 | 649      | 2013-03-01 00:00:00 | 2029-03-01 00:00:00 |        8 | 1639        |         124700 |
| 30372334987473   |        1 | Diners Club International |        137 | 429      | 2010-09-01 00:00:00 | 2029-09-01 00:00:00 |       27 | 8613        |         157700 |
| 3582404907535330 |        3 | Japan Credit Bureau       |        138 | 189      | 2011-02-01 00:00:00 | 2026-02-01 00:00:00 |        3 | 9949        |          90500 |
| 30411247364451   |        1 | Diners Club International |        139 | 175      | 2015-04-01 00:00:00 | 2027-04-01 00:00:00 |       24 | 2810        |         144600 |
| 30313141032806   |        1 | Diners Club International |        140 | 199      | 2012-01-01 00:00:00 | 2016-01-01 00:00:00 |        4 | 8304        |         118200 |
| 30182046889036   |        1 | Diners Club International |        141 | 467      | 2011-03-01 00:00:00 | 2019-03-01 00:00:00 |       10 | 7529        |         179600 |
| 373738342437211  |        8 | American Express          |        142 | 769      | 2008-10-01 00:00:00 | 2011-10-01 00:00:00 |        7 | 7815        |          13500 |
| 6011434248146450 |        6 | Discover                  |        143 | 422      | 2014-11-01 00:00:00 | 2021-11-01 00:00:00 |       22 | 2661        |          65800 |
