MySQL Shell 8.0.32

Copyright (c) 2016, 2023, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': *************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): N
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 10
Server version: 8.0.32 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases;
+--------------------+
| Database           |
+--------------------+
| agencia            |
| ejemplo            |
| ejemplotdcs        |
| evaluacion_1       |
| information_schema |
| mysql              |
| ordenes_compra     |
| performance_schema |
| recursos_humanos   |
| sakila             |
| sys                |
| tarjetas_credito   |
| world              |
+--------------------+
13 rows in set (0.0018 sec)
 MySQL  localhost:3306 ssl  SQL > \use tarjetas_credito
Default schema set to `tarjetas_credito`.
Fetching global names, object names from `tarjetas_credito` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL >  show tables;
+----------------------------+
| Tables_in_tarjetas_credito |
+----------------------------+
| bancos                     |
| clientes                   |
| tarjetas                   |
+----------------------------+
3 rows in set (0.0026 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\clientes.csv'
                                                 -> INTO TABLE Clientes
                                                 -> FIELDS TERMINATED BY ','
                                                 -> ENCLOSED BY '"'
                                                 -> LINES TERMINATED BY '\r\n'
                                                 -> IGNORE 1 LINES
                                                 -> (nombre_cliente);
Query OK, 5000 rows affected (0.1332 sec)

Records: 5000  Deleted: 0  Skipped: 0  Warnings: 0
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM Clientes
                                                 -> ;
+------------+--------------------------+
| cliente_id | nombre_cliente           |
|         65 | Alec H Rutherford        |
|         66 | Alec I Sides             |
|         67 | Aleisha Calderon         |
|         68 | Alessandra M Winfrey     |
|         69 | Aleta A Abreu            |
|         70 | Aletha Macmillan         |
|         71 | Alethea F Hewitt         |
|         72 | Alex E Hunt              |
|         73 | Alex E Mercado           |
|         74 | Alex H Wise              |
|         75 | Alex Hamlin              |
|         76 | Alex L Jenkins           |
|         77 | Alex O Compton           |
|         78 | Alex R Maldonado         |
|         79 | Alex Riggs               |
|         80 | Alex Scarbrough          |
|         81 | Alexa U Amundson         |
|         82 | Alexander C Walls        |
|         83 | Alexander E Donaldson    |
|         84 | Alexander Good           |
|         85 | Alexander Holden         |
|         86 | Alexander N Howell       |
|         87 | Alexander N Shoemaker    |
|         88 | Alexander W Vergara      |
|         89 | Alexander Witt           |
|         90 | Alexis Woodward          |
|         91 | Alfonso Hutchens         |
|         92 | Alfonzo Chin             |
|         93 | Alfred A Whitaker        |
|         94 | Alfred E Osborne         |
|         95 | Alfred G Deyoung         |
|         96 | Alfred M Rees            |
|         97 | Alfred Madison           |
|         98 | Alfred Nash              |
|         99 | Alfred Park              |
|        100 | Alfred Welch             |
|        101 | Alfred Y Bond            |
|        102 | Alfred Y Horning         |
|        103 | Ali Hendon               |
|        104 | Ali L Coffin             |
|        105 | Ali Y Swain              |
|        106 | Alice B Nash             |
|        107 | Alice Cook               |
|        108 | Alice H Hendrix          |
|        109 | Alice N Schwartz         |
|        110 | Alice S Mcneil           |
|        111 | Alice U Gardner          |
|        112 | Alicia B Glover          |
|        113 | Alicia B Townsend        |
|        114 | Alicia C Vance           |
|        115 | Alicia Frazier           |
|        116 | Alicia R Atkinson        |
|        117 | Alicia X Bass            |
|        118 | Alida W Morey            |
|        119 | Alishia C Barksdale      |
|        120 | Alishia H Proffitt       |
|        121 | Alissa Marin             |
|        122 | Alix J Koehler           |
|        123 | Allan F Moriarty         |
|        124 | Allan J Huggins          |
|        125 | Allegra V Harbin         |
|        126 | Allen B Kemp             |
|        127 | Allen B Sheppard         |
|        128 | Allen E Carver           |
|        129 | Allen F Landry           |
|        130 | Allen P Atchison         |
|        131 | Allen R Cunningham       |
|        132 | Allen Stokes             |
|        133 | Allen T Mclaughlin       |
|        134 | Allen Velasco            |
|        135 | Allie Sweat              |
|        136 | Alma C Moran             |
|        137 | Alma L Bailey            |
|        138 | Alma N Soto              |
|        139 | Alonso Q Rawlins         |
|        140 | Alphonse M Chalmers      |
|        141 | Alphonse S Mckenzie      |
|        142 | Alphonse Z Dexter        |
|        143 | Alta O Burnham           |
|        144 | Altagracia Z Bennett     |
|        145 | Althea Bowden            |
|        146 | Alton Shields            |
|        147 | Alva C Locke             |
|        148 | Alva Gale                |
|        149 | Alvaro Figueroa          |
|        150 | Alvaro M Wendt           |
|        151 | Alvaro U Lusk            |
|        152 | Alvaro W Harry           |
|        153 | Alvin E Kennedy          |
|        154 | Alvin Golden             |
|        155 | Alvin H Tirado           |
|        156 | Alvin I Moore            |
|        157 | Alvin Mcclure            |
|        158 | Alycia A Lavender        |
|        159 | Alyse I Gutierrez        |
|        160 | Alysha Q Cintron         |
|        161 | Amada Knight             |
|        162 | Amalia I Erdmann         |
|        163 | Amanda H Dodson          |
|        164 | Amanda Hurley            |
|        165 | Amanda Nolan             |
|        166 | Amanda Y Burke           |
|        167 | Amber D Castillo         |
|        168 | Amber I Quinn            |
|        169 | Amber P Hodge            |
|        170 | Amber V Mcleod           |
|        171 | Amira I Peoples          |
|        172 | Ammie Zamora             |
|        173 | Amy Nixon                |
|        174 | Ana H Abbott             |
|        175 | Ana H Ford               |
|        176 | Ana Howard               |
|        177 | Ana Nielsen              |
|        178 | Ana Pace                 |
|        179 | Ana Q Garrett            |
|        180 | Ana S Gay                |
|        181 | Ana U Burns              |
|        182 | Ana X Carey              |
|        183 | Ana Y Haynes             |
|        184 | Anabel Trahan            |
|        185 | Anderson P Byrnes        |
|        186 | Andre N Haller           |
|        187 | Andre Woodcock           |
|        188 | Andre X Townsend         |
|        189 | Andrea Acevedo           |
|        190 | Andrea E Nichols         |
|        191 | Andrea J Herman          |
|        192 | Andrea J Oneill          |
|        193 | Andrea N Mcmillan        |
|        194 | Andrea O Wagner          |
|        195 | Andrea Rodgers           |
|        196 | Andrea West              |
|        197 | Andrea X Easterling      |
|        198 | Andres M Douglas         |
|        199 | Andrew C Willis          |
|        200 | Andrew E Ratliff         |
|        201 | Andrew Harrell           |
|        202 | Andrew K Pena            |
|        203 | Andrew Lott              |
|        204 | Andrew Lowery            |
|        205 | Andrew P Stanley         |
|        206 | Andrew Stewart           |
|        207 | Andrew Swanson           |
|        208 | Andrew U Melendez        |
|        209 | Andrew Z Harrison        |
|        210 | Andria K Block           |
|        211 | Andy Garner              |
|        212 | Angel Garay              |
|        213 | Angel Phillip            |
|        214 | Angela B Sullivan        |
|        215 | Angela H Faulkner        |
|        216 | Angela J Farmer          |
|        217 | Angela M Mcpherson       |
|        218 | Angela Q Quinn           |
|        219 | Angela R Key             |
|        220 | Angela Smith             |
|        221 | Angelic X Fernandes      |
|        222 | Angelika Craven          |
|        223 | Angelika Ritter          |
|        224 | Angelina M Aldrich       |
|        225 | Angelita Dupont          |
|        226 | Angelo Q Canfield        |
|        227 | Angelyn Costa            |
|        228 | Angla F Jaime            |
|        229 | Angle L Vetter           |
|        230 | Anh Vallejo              |
|        231 | Anibal T Carrico         |
|        232 | Anika Beck               |
|        233 | Anisa S Coyle            |
|        234 | Anisha J Lankford        |
|        235 | Anita D Young            |
|        236 | Anita J Herman           |
|        237 | Anita Joyner             |
|        238 | Anita R Moses            |
|        239 | Anita R Riddle           |
|        240 | Anita White              |
|        241 | Ann A Ochoa              |
|        242 | Ann A Petersen           |
|        243 | Ann C Carver             |
|        244 | Ann O Dominguez          |
|        245 | Ann Q Vega               |
|        246 | Ann R Rice               |
|        247 | Ann Ruiz                 |
|        248 | Ann Stokes               |
|        249 | Ann W Baxter             |
|        250 | Anna Atkins              |
|        251 | Anna E Mullen            |
|        252 | Anna G Bowen             |
|        253 | Anna J Kline             |
|        254 | Anna L Anthony           |
|        255 | Anna V Casey             |
|        256 | Anna Z Gay               |
|        257 | Annalee L Nutter         |
|        258 | Annamaria Wolf           |
|        259 | Anne C Ratliff           |
|        260 | Anne D Prince            |
|        261 | Anne Gordon              |
|        262 | Anne I West              |
|        263 | Anne Jordan              |
|        264 | Anne M Pratt             |
|        265 | Anne N Hess              |
|        266 | Anne S Hendricks         |
|        267 | Anne X Emerson           |
|        268 | Anne X Tran              |
|        269 | Annelle Y Lim            |
|        270 | Annemarie Shoemaker      |
|        271 | Annett Y Amato           |
|        272 | Annette J Lloyd          |
|        273 | Annette Murray           |
|        274 | Annette S Luna           |
|        275 | Annie C Pearson          |
|        276 | Annie D Wells            |
|        277 | Annie I Mcmahon          |
|        278 | Annie M Medina           |
|        279 | Annie Mann               |
|        280 | Annie R Maxwell          |
|        281 | Annie U Davidson         |
|        282 | Annie U Dixon            |
|        283 | Annie U Riley            |
|        284 | Annie Z Douglas          |
|        285 | Annita Holmes            |
|        286 | Annmarie Tipton          |
|        287 | Anthony Aguilar          |
|        288 | Anthony Combs            |
|        289 | Anthony S Glover         |
|        290 | Anthony Sharp            |
|        291 | Anthony U Hess           |
|        292 | Anthony U Keith          |
|        293 | Anthony V Barry          |
|        294 | Anthony V Wyatt          |
|        295 | Anthony W Britt          |
|        296 | Antione A Juarez         |
|        297 | Antione Fanning          |
|        298 | Antione L Walden         |
|        299 | Antoine T Tillman        |
|        300 | Anton Z Godwin           |
|        301 | Antone K Wyant           |
|        302 | Antonio F Boyer          |
|        303 | Antonio H Ripley         |
|        304 | Antonio Huffman          |
|        305 | Antonio Langley          |
|        306 | Antonio M Morris         |
|        307 | Antonio T Jaramillo      |
|        308 | Antonio V Howell         |
|        309 | Antony Kahn              |
|        310 | Antwan M Ferrara         |
|        311 | Antwan Y Goss            |
|        312 | Anya M Dewey             |
|        313 | Anya X Marquardt         |
|        314 | April Beauregard         |
|        315 | April G Conway           |
|        316 | April Nielsen            |
|        317 | April P Rocha            |
|        318 | April Rice               |
|        319 | April W Kane             |
|        320 | Apryl Stuckey            |
|        321 | Ara R Navarrete          |
|        322 | Araceli Stuckey          |
|        323 | Archie C Rosenberg       |
|        324 | Ardath Q Seward          |
|        325 | Arden B Trudeau          |
|        326 | Arden U Collado          |
|        327 | Ardis I Amato            |
|        328 | Arianne Z Headley        |
|        329 | Ariel N Snipes           |
|        330 | Arlen O Dahl             |
|        331 | Arlinda T Emanuel        |
|        332 | Armand K Way             |
|        333 | Armando E Phelan         |
|        334 | Armando Ramsey           |
|        335 | Arnetta L Moffitt        |
|        336 | Arnita B Boatright       |
|        337 | Arnita Q Steel           |
|        338 | Arnold G Cazares         |
|        339 | Arnold I Griffis         |
|        340 | Arnold Schubert          |
|        341 | Arnoldo Y Scherer        |
|        342 | Arnulfo D Sauer          |
|        343 | Arnulfo M Baldridge      |
|        344 | Aron Riddell             |
|        345 | Arron R Lloyd            |
|        346 | Arthur Burke             |
|        347 | Arthur Gibson            |
|        348 | Arthur R Camacho         |
|        349 | Arthur T Barber          |
|        350 | Arthur T Clay            |
|        351 | Arthur U Curry           |
|        352 | Arthur V Rios            |
|        353 | Arturo E Martino         |
|        354 | Arturo Whiteside         |
|        355 | Asa Q Deberry            |
|        356 | Asa W Bechtel            |
|        357 | Ashley B Dickson         |
|        358 | Ashley J Kaufman         |
|        359 | Ashley T Garza           |
|        360 | Ashley X Compton         |
|        361 | Ashli Bock               |
|        362 | Aubrey Rodrigues         |
|        363 | Aubrey V Hood            |
|        364 | Audrea N Albright        |
|        365 | Audrey B Lovell          |
|        366 | Audrey Burks             |
|        367 | Audrey George            |
|        368 | Audrey Haley             |
|        369 | Audrey R Ewing           |
|        370 | Audrey S Wolf            |
|        371 | Audrey T Berg            |
|        372 | Audrey Walker            |
|        373 | Audrey X Kaufman         |
|        374 | August C Everhart        |
|        375 | August L Harwood         |
|        376 | Augusta Pettigrew        |
|        377 | Augustus Santana         |
|        378 | Aura Mcmahon             |
|        379 | Aura Williamson          |
|        380 | Aurea Y Thornburg        |
|        381 | Aurelio B Harlow         |
|        382 | Aurelio Harley           |
|        383 | Aurora D Roldan          |
|        384 | Ava F Li                 |
|        385 | Ava K Perreault          |
|        386 | Avery N Drayton          |
|        387 | Avery Thorp              |
|        388 | Awilda U Ng              |
|        389 | Ayako Appel              |
|        390 | Ayesha N Butterfield     |
|        391 | Azucena H Lau            |
|        392 | Azucena U Horsley        |
|        393 | Bambi S Palmer           |
|        394 | Barabara U Demers        |
|        395 | Barbara A Forbes         |
|        396 | Barbara Decker           |
|        397 | Barbara Guerrero         |
|        398 | Barbara Levine           |
|        399 | Barbara Russo            |
|        400 | Barbara Wyatt            |
|        401 | Barbera Y Isaac          |
|        402 | Barbra V Fong            |
|        403 | Barney Goforth           |
|        404 | Barrie T Holm            |
|        405 | Barry D Dennis           |
|        406 | Barry E Mcclure          |
|        407 | Barry Glover             |
|        408 | Barry I Frye             |
|        409 | Barry J Garner           |
|        410 | Barry L Waters           |
|        411 | Barry T Mullins          |
|        412 | Bart Lessard             |
|        413 | Beatrice C Livingston    |
|        414 | Beatrice Case            |
|        415 | Beatrice I Cohen         |
|        416 | Beatrice Larson          |
|        417 | Beatrice S Flores        |
|        418 | Beatrice U Harrell       |
|        419 | Beaulah C Wooden         |
|        420 | Beaulah Reuter           |
|        421 | Bell L Pease             |
|        422 | Belva Blalock            |
|        423 | Ben B Douglas            |
|        424 | Ben Dancy                |
|        425 | Ben U Kinsey             |
|        426 | Ben U Staples            |
|        427 | Benjamin B Durham        |
|        428 | Benjamin B Gentry        |
|        429 | Benjamin D Lott          |
|        430 | Benjamin H Torres        |
|        431 | Benjamin L Chang         |
|        432 | Benjamin W Moss          |
|        433 | Benjamin W Parker        |
|        434 | Benjamin X Rose          |
|        435 | Benjamin Z Bowen         |
|        436 | Benjamin Z Nash          |
|        437 | Bennie Oswalt            |
|        438 | Benton Huang             |
|        439 | Berenice G Scribner      |
|        440 | Bernadine A Crow         |
|        441 | Bernard D Welch          |
|        442 | Bernard Frazier          |
|        443 | Bernard Harris           |
|        444 | Bernard Humphrey         |
|        445 | Bernard N Ford           |
|        446 | Bernard Rosario          |
|        447 | Bernard Wooten           |
|        448 | Bernardo Bogan           |
|        449 | Berneice N Flemming      |
|        450 | Bernetta L Wren          |
|        451 | Bernice Barr             |
|        452 | Bernice Burnett          |
|        453 | Bernice N Barton         |
|        454 | Bernice N Farmer         |
|        455 | Bernice Newton           |
|        456 | Bernice T Oneill         |
|        457 | Bernie Wheat             |
|        458 | Bernita H Lira           |
|        459 | Bernita N Low            |
|        460 | Bertha D Neal            |
|        461 | Bertha Gutierrez         |
|        462 | Bertha N Knowles         |
|        463 | Bertha W Potts           |
|        464 | Bessie W Mundy           |
|        465 | Beth J Schroeder         |
|        466 | Beth Kerr                |
|        467 | Beth L Hill              |
|        468 | Beth N Frank             |
|        469 | Beth Q Miller            |
|        470 | Beth S Melendez          |
|        471 | Bethann M Lemaster       |
|        472 | Betsy J Bedford          |
|        473 | Bettie T Matheson        |
|        474 | Betty Boyer              |
|        475 | Betty Kerr               |
|        476 | Betty N Sherman          |
|        477 | Betty T Matthews         |
|        478 | Betty U Mckeown          |
|        479 | Beula Quiroz             |
|        480 | Beulah Wynne             |
|        481 | Beverley V Shoemaker     |
|        482 | Beverly A Hayden         |
|        483 | Beverly C Hampton        |
|        484 | Beverly F Villarreal     |
|        485 | Beverly Fitzpatrick      |
|        486 | Beverly Gardner          |
|        487 | Beverly Hahn             |
|        488 | Beverly Houston          |
|        489 | Beverly Keith            |
|        490 | Beverly M Figueroa       |
|        491 | Beverly M Gay            |
|        492 | Beverly P Sandoval       |
|        493 | Beverly S Baxter         |
|        494 | Beverly W Underwood      |
|        495 | Bill Byers               |
|        496 | Bill Head                |
|        497 | Bill K Richmond          |
|        498 | Bill Lemaster            |
|        499 | Bill Q Keller            |
|        500 | Bill S Ford              |
|        501 | Bill Soto                |
|        502 | Billie Milton            |
|        503 | Billy G Walsh            |
|        504 | Billy Johnson            |
|        505 | Billy L Estes            |
|        506 | Billy S Donovan          |
|        507 | Billy T Turnbull         |
|        508 | Billy Vincent            |
|        509 | Blaine D Ritter          |
|        510 | Blair H Schoonover       |
|        511 | Blair J Betts            |
|        512 | Blake T Settles          |
|        513 | Blondell Y Pedersen      |
|        514 | Bo Q Ly                  |
|        515 | Bobbi Ahrens             |
|        516 | Bobbi Barclay            |
|        517 | Bobbi N Queen            |
|        518 | Bobbie E Quintero        |
|        519 | Bobby Barr               |
|        520 | Bobby C Foley            |
|        521 | Bobby Hull               |
|        522 | Bobby K Figueroa         |
|        523 | Bobby Riley              |
|        524 | Bobbye F Dexter          |
|        525 | Bobette V Harbin         |
|        526 | Bong R Beyer             |
|        527 | Bonita Lohr              |
|        528 | Bonita M Ramirez         |
|        529 | Bonnie C Fowler          |
|        530 | Bonnie M Maxwell         |
|        531 | Bonnie O Kelly           |
|        532 | Bonnie Walton            |
|        533 | Bonnie Wheeler           |
|        534 | Bonnie Y Prince          |
|        535 | Bonnie Y Wynn            |
|        536 | Booker R Guest           |
|        537 | Booker U Sinclair        |
|        538 | Boyce Beaudry            |
|        539 | Boyce Weldon             |
|        540 | Boyd Chism               |
|        541 | Brad U Rodgers           |
|        542 | Bradford Gallagher       |
|        543 | Bradley A Merrill        |
|        544 | Bradley C Moss           |
|        545 | Bradley Hammond          |
|        546 | Bradley K Thomsen        |
|        547 | Bradley M Singleton      |
|        548 | Bradley O Snow           |
|        549 | Bradley U Wagner         |
|        550 | Brady Osteen             |
|        551 | Brain J Radford          |
|        552 | Brain Ogle               |
|        553 | Brande X Muir            |
|        554 | Branden Mchenry          |
|        555 | Brandon E Hart           |
|        556 | Brandon H Fulton         |
|        557 | Brandon L Bishop         |
|        558 | Brandon R Macdonald      |
|        559 | Brandon T Boone          |
|        560 | Brandon Wilder           |
|        561 | Brant C Narvaez          |
|        562 | Brant East               |
|        563 | Brant G Mcgregor         |
|        564 | Brant R Brunson          |
|        565 | Brant T Embry            |
|        566 | Breann Funk              |
|        567 | Brenda Carey             |
|        568 | Brenda D Horton          |
|        569 | Brenda Hogan             |
|        570 | Brenda J Skinner         |
|        571 | Brenda Lloyd             |
|        572 | Brenda M Walter          |
|        573 | Brenda P Chambers        |
|        574 | Brenda U Blankenship     |
|        575 | Brenda V Dollar          |
|        576 | Brenda X Ryan            |
|        577 | Brendon R Mercier        |
|        578 | Brent Conley             |
|        579 | Brent J Bradford         |
|        580 | Brent L Morin            |
|        581 | Brent Pacheco            |
|        582 | Brent Q Oliver           |
|        583 | Brent R Baldwin          |
|        584 | Brent T Waters           |
|        585 | Brent Valentine          |
|        586 | Brent Y Powers           |
|        587 | Brenton F Figueroa       |
|        588 | Brenton Porterfield      |
|        589 | Brenton Q Scarbrough     |
|        590 | Bret E Lawhorn           |
|        591 | Brett W Coyle            |
|        592 | Brian A Chaney           |
|        593 | Brian E Stein            |
|        594 | Brian Espinoza           |
|        595 | Brian J Huggins          |
|        596 | Brian Q Moody            |
|        597 | Brian T Eaton            |
|        598 | Brian X Mendez           |
|        599 | Brice Q Shinn            |
|        600 | Brigid X Snell           |
|        601 | Britt Holbrook           |
|        602 | Britta V Valenti         |
|        603 | Brittaney L Moorman      |
|        604 | Brittani D Mcinnis       |
|        605 | Brittany Daugherty       |
|        606 | Brittany Hurst           |
|        607 | Brittany T Boone         |
|        608 | Brittany W Lucas         |
|        609 | Brittney Blackmon        |
|        610 | Broderick Bowie          |
|        611 | Broderick I Kohl         |
|        612 | Brooke A Roy             |
|        613 | Brooks Whittaker         |
|        614 | Bruce D Howe             |
|        615 | Bruce F Lockhart         |
|        616 | Bruce Lyons              |
|        617 | Bruce Pedigo             |
|        618 | Bruce Walker             |
|        619 | Bruna V Gates            |
|        620 | Bryan H Cabrera          |
|        621 | Bryan H Pridgen          |
|        622 | Bryan I Benson           |
|        623 | Bryan K Stanton          |
|        624 | Bryan V Kelley           |
|        625 | Bryan Y Riddle           |
|        626 | Bryce C Johnston         |
|        627 | Bryce English            |
|        628 | Bryce K Berger           |
|        629 | Bryce Pedroza            |
|        630 | Brynn P Muniz            |
|        631 | Brynn U Davenport        |
|        632 | Bryon R Byars            |
|        633 | Buck Binder              |
|        634 | Buck Ewing               |
|        635 | Bula E Duckworth         |
|        636 | Burl Penny               |
|        637 | Burt Billingsley         |
|        638 | Buster Daly              |
|        639 | Buster Q Fulcher         |
|        640 | Byron Phipps             |
|        641 | Byron V Molina           |
|        642 | Caitlin Uribe            |
|        643 | Callie S Lopes           |
|        644 | Calvin Bonner            |
|        645 | Calvin E Marr            |
|        646 | Calvin Green             |
|        647 | Calvin I Ellis           |
|        648 | Calvin J Pruitt          |
|        649 | Calvin L Mooney          |
|        650 | Calvin P Moseley         |
|        651 | Calvin U Key             |
|        652 | Calvin W Cochran         |
|        653 | Candace K Reedy          |
|        654 | Candelaria Schindler     |
|        655 | Candi Harwell            |
|        656 | Candice O Glasgow        |
|        657 | Candida Copley           |
|        658 | Candie Sampson           |
|        659 | Caprice G Soriano        |
|        660 | Carey Crow               |
|        661 | Carey J Spann            |
|        662 | Carie O Schumacher       |
|        663 | Carl A Wolfe             |
|        664 | Carl B Cardenas          |
|        665 | Carl F Frye              |
|        666 | Carl L Ford              |
|        667 | Carl M Vargas            |
|        668 | Carl Nixon               |
|        669 | Carl V Villarreal        |
|        670 | Carl W Mosley            |
|        671 | Carl Z Richmond          |
|        672 | Carletta Yount           |
|        673 | Carley T Gagne           |
|        674 | Carlos Barron            |
|        675 | Carlos Kirk              |
|        676 | Carlos L Hall            |
|        677 | Carlos N England         |
|        678 | Carlos Nguyen            |
|        679 | Carlos Odonnell          |
|        680 | Carlos Yates             |
|        681 | Carlton R Abbott         |
|        682 | Carmel K Matney          |
|        683 | Carmelita X Salinas      |
|        684 | Carmen C Holden          |
|        685 | Carmen E Barrett         |
|        686 | Carmen Gresham           |
|        687 | Carmen Griffith          |
|        688 | Carmen Q Carney          |
|        689 | Carmen S Cano            |
|        690 | Carmen U Carpenter       |
|        691 | Carmen W Rodriguez       |
|        692 | Carmine B Picard         |
|        693 | Carol C Rosario          |
|        694 | Carol K Petty            |
|        695 | Carol T Vega             |
|        696 | Carole G Venable         |
|        697 | Carolee X Spellman       |
|        698 | Caroll Quigley           |
|        699 | Carolyn P Whitney        |
|        700 | Carolyn Terrell          |
|        701 | Carolyn U Weaver         |
|        702 | Carolyn Y Ochoa          |
|        703 | Carolynn Thames          |
|        704 | Carolynn W Jorgenson     |
|        705 | Caroyln D Burdick        |
|        706 | Carrie Frederick         |
|        707 | Carrie I Morse           |
|        708 | Carrie L Vasquez         |
|        709 | Carrie N Campbell        |
|        710 | Carrie N Reilly          |
|        711 | Carrie O Fischer         |
|        712 | Carrie R Banks           |
|        713 | Carrie R Brown           |
|        714 | Carrie R Vance           |
|        715 | Carrie S Spencer         |
|        716 | Carrie Strong            |
|        717 | Carrol F Slater          |
|        718 | Carrol M Adame           |
|        719 | Carrol O Kowalski        |
|        720 | Carroll B James          |
|        721 | Carroll W Coffey         |
|        722 | Carson K Goins           |
|        723 | Cary Denny               |
|        724 | Cary Fleck               |
|        725 | Cary R Rankin            |
|        726 | Casey Draper             |
|        727 | Casey P Uribe            |
|        728 | Casie Burroughs          |
|        729 | Catherine N Mathis       |
|        730 | Catherine S Neal         |
|        731 | Catherine X Frost        |
